Code,Description,Department,Medport / DMA,STANDARD,PROMPT PAY,Medicare,Medicaid,BCBS ,UHC,Aetna,Cigna ,Gilsbar ,Humana MCR Rpl.,Bourgeois,Baywater,Meritain,WEB TPA
95908,Nerve conduction studies; 3-4 studies,EMG,,468,257.4,120.83,76.93,142.64,198.98,,134.07,150.16,148.59,,,,
95909,Nerve conduction studies; 5-6 studies,EMG,,556,306.2,143.99,92.17,169.97,238.54,,160.63,179.9,177.05,,,,
95910,Nerve conduction studies; 7-8 studies,EMG,,740,407,189.79,121.39,224.76,314.1,,211.56,236.95,234.13,,,261.62,
95911,Nerve conduction studies; 9-10 studies,EMG,,880,484,226.85,147.2,268.34,380.64,,256.53,287.31,279.53,,,,
95912,Nerve conduction studies; 11-12 studies,EMG,,988,565.75,252.85,172.57,297.54,446.03,,300.75,336.84,309.94,,,,
95913,Nerve conduction studies; 13 or more studies,EMG,,1124,650.65,292.19,200.27,341.31,,432.78,349.01,390.89,356.58,,,,
95933,Orbicularis oculi (blink) reflex; by electrodiagnostic testing,EMG,,312,195.55,73.74,41.88,86.3,99.33,,103.94,81.73,89.9,,,,
95937,Neuromuscular junction testing (repetitive stimulation; paired stimuli); each nerve; any one method,EMG,,308,187.3,77.49,37.75,92.33,76.22,,90.02,147.36,96.18,,,,
95951,EEG; each 24 hours,EEG,,3000,1794.75,967.97,673.67,1156.3,2860.74,,902.22,1314.91,1204.48,,,,
95953,Monitoring for localization of cerebral seizure focus by computerized portable 16 or more channel EEG; electroencephalographic (EEG) recording and interpretation; each 24 hours; unattended,EEG,,,,407.53,,476.23,,,501.08,511.07,496.08,,,,
95957,EEG - Digital analysis of electroencephalogram ,EEG,,2020,1098,270.51,167.82,341.58,277.62,,520.34,327.57,355.81,,,,
95970,Electronic analysis of implanted neurostimulator pulse generator system ,Intrathecal/Neurostimulator Therapies,,248,136.4,65.19,32.32,76.46,39.44,,80.83,63.08,79.65,,,,
96372,Injection subcutaneous or intramuscular,Infusion,,112,61.6,57.48,0,21.35,28.4,,,24.86,29.65,,,,
99070,Supplies and materials (except spectacles); provided by the physician over and above those usually included with the office visit or other services rendered (list drugs; trays; supplies; or materials provided),DME,,75,41.25,0,0,0,60,,,5.09,0,,,,
ACervFac,Attorney - Cervical  Facet Injection,Pain/Fluoro Procedures,,2850,1567.5,0,0,0,0,,,,0,,,,
ALumbarESI,Attorney - Lumbar ESI injections,Pain/Fluoro Procedures,4500,2650,1457.5,0,0,0,0,,,,0,,,,
ALumbFac,Attorney - Lumbar Facet ,Pain/Fluoro Procedures,4750,2780,1529,0,0,0,0,,,,0,,,,
ABW-BMP,Attorney Bloodwork - Basic Metabolic Panel (Pass through),Lab,,87.5,87.5,0,0,0,0,0,0,0,0,,,,
ABW-BUN,Attorney Bloodwork - BUN (Pass through),Lab,,37.5,37.5,0,0,0,0,0,0,0,0,,,,
ABW-CREA,Attorney Bloodwork - Creatinine (Pass through),Lab,,38.75,38.75,0,0,0,0,0,0,0,0,,,,
ABW-DRAW,Attorney Bloodwork - Lab draw (Pass through),Lab,,25,25,0,0,0,0,0,0,0,0,,,,
ATT-BAER,BAER - Attorney,EMG,,615,615,0,0,0,0,0,0,0,0,,,,
ATT-CERV,Cervical Facet Block; Including flouroscopic/ultrasonic guidance and medications administered - Attorney,Physician Services,,2850,2850,0,,0,,,,,0,,,,
ATT-EEG,Electroencephalogram (EEG); including recording awake and drowsy - Attorney,EEG,,1500,1500,0,0,0,0,0,0,0,0,,,,
ATT-EMG,Extremity EMG/NCS Per Limb - Attorney,EMG,,500,500,0,0,0,0,0,0,0,0,,,,
ATT-LESI,Lumbar Epidural Steroid Injection; Including flouroscopic/ultrasonic guidance and medications administered - Attorney,Physician Services,,2650,2650,0,,0,,,,,0,,,,
ATT-FU,Follow-up visit - Attoney,Physician Services,,415,415,0,0,0,0,0,0,0,0,,,,
ATT-NP,New Patient Evaluation - Attorney,Physician Services,,750,648,0,0,0,0,0,0,0,0,,,,
ATT-ONB,Occipital nerve block - Attorney,Other Injections,,886,886,0,0,0,0,0,0,0,0,,,,
ATT-PIFU,Post-injection follow-up - Attorney,Physician Services,,415,415,0,0,0,0,0,0,0,0,,,,
ATT-VEP,Visual Evoled Potential - Attorney,,,468,0,0,,0,,,,,0,,,,
ATT-MRI,MRI WITH,Radiology,,750,0,,,,,,,,,,,,
ATT-MRI,W/OUT,Radiology,,500,0,,,,,,,,,,,,
ATT-SSEP,SSEP,,,1236,,,,,,,,,,,,,
ATT-TPI,TRIGGER POINT INJECTION,,,394,,,,,,,,,,,,,
CONF,Conference with atty or WC rep first 30m,Physician Services,,350,192.5,0,0,0,0,,,,0,,,,
COURT,Expert witness/Court appearance per hour,Physician Services,,1600,880,0,0,0,0,,,,0,,,,
DEPO,DEPOSITION,Physician Services,,1200,660,0,0,0,0,,,,0,,,,
DEPOA,Deposition - Each additional 15 minutes after the first hour,Physician Services,,250,137.5,0,0,0,0,,,,0,,,,
E0105UE,,DME,,220,121,0,,0,,,,,0,,,,
E0147NU,Walker; heavy duty; multiple braking system; variable wheel resistance,DME,,2200,1210,677.21,549.9,243.05,919.7,,,,467.41,,,,
E0147RR,Walker; heavy duty; multiple braking system; variable wheel resistance,DME,,220,121,67.74,55,24.31,0,,,,46.74,,,,
E0147UE,Walker; heavy duty; multiple braking system; variable wheel resistance,DME,,1648,906.4,507.93,412.44,0,0,,,,0,,,,
E0720NU,TENS device; two lead; localized stimulation,DME,,1450,797.5,502.45,363.76,71.36,524.34,,,,89.2,,,,
E0860NU,Traction equipment; overdoor; cervical,DME,,175,96.25,52.68,42.77,27.89,61.65,,,60,53.63,,,,
E0860RR,Traction equipment; overdoor; cervical rental,DME,,30,16.5,8.9,7.23,2.79,0,,,,9.06,,,,
E0860UE,Traction equipment; overdoor; cervical,DME,,135,74.25,40.34,32.75,0,0,,,,0,,,,
EXPWT,EXPERT WITNESS REVIEW OF RECORDS,Physician Services,,1450,797.5,0,0,0,0,,,,0,,,,
FORM,FORM COMPLETION FEE,Physician Services,,25,25,0,0,0,0,,,,0,,,,
FORM-WS,Work status report form fee,Physician Services,,75,75,0,0,0,0,,,,0,,,,
G0179,Physician re-certification for Medicare-covered home health services ,Physician Services,,155,95.8,39.85,53.2,39.41,88.03,,,,49.26,,,,
G0180,Physician certification for Medicare-covered home health  services ,Physician Services,,205,112.75,51.82,63.88,51.27,114.34,,,48.25,64.59,,,,
G0181,Physician supervision of a patient receiving Medicare-covered services provided by a participating home health agency (patient not present) requiring complex and multidisciplinary care modalities involving regular physician development and/or revision of,Physician Services,,415,228.25,106.1,102.43,105.46,194.35,,,,131.83,,,,
G0372,Physician service required to establish and document the need for a power mobility device,Physician Services,,80,44,9.11,14.81,8.76,32.91,,,,10.95,,,,
J0475,Injection; baclofen; 10 mg,Medicine,,750,412.5,0,160.89,181.08,344.29,,,214.86,210.86,,,,
J0476,Injection; baclofen; 50 mcg for intrathecal trial,Medicine,,900,495,0,60.22,77.37,127.68,,,79.85,96.05,,,,
J0585,Botulinum toxin type A; per unit,Medicine,,25,13.75,6.8,0,6.21,7.09,5.68,5.68,6.07,7.43,,,,
J0585JW,Botulinum toxin type A; per unit,Medicine,,25,13.75,6.8,0,6.21,7.09,5.68,5.68,6.07,7.43,,,,
J0585X,Botulinum toxin type A; per unit (Supplied by specialty pharmacy),Medicine,,0,0,0,0,0,0,0,,,0,,,,
J0587,Myobloc(rimabotulinumtoxinB); per 100 units,Medicine,,800,440,13.99,7.85,12.16,12.58,,,,14.69,,,,
J0670,Injection; mepivacaine HCl; per 10 ml,Medicine,,75,41.25,3.15,0,2.93,2.96,,,1.44,,,,,
J0702,Injection; betamethasone acetate 3 mg and betamethasone sodium phosphate 3 mg,Medicine,,95,52.25,,,6.5,,,,,7.59,,,,
J1030,Injection methylprednisolone acetate 40 mg,Medicine,,35,19.25,3.44,0,7,5.92,,3.52,4.72,6.96,,,,
J1100,Injection; dexamethasone sodium phosphate; 1 mg,Medicine,,35,19.25,0.16,0.08,0.14,0.16,,,1,0.14,,,116.1,
J1170,Injection; hydromorphone; up to 4 mg,Medicine,,15,8.25,2.86,0,2.25,2.38,,,,2.39,,,,
J1200,Injection; diphenhydramine HCl; up to 50 mg,Medicine,,35,19.25,0.85,0.63,0.67,2.29,,,,0.9,,,,
J1459,Privigen 500 mg,Medicine,,150,82.5,45.91,0,42.36,124.8,,,,48.59,,,,
J1561,Injection; immune globulin; (Gamunex); intravenous; nonlyophilized (e.g.; liquid); 500 mg,Medicine,,160,88,49.71,0,42.84,105.71,,,,42.41,,,,
J1566,Injection; immune globulin; intravenous; lyophilized (e.g.; powder); not otherwise specified; 500 mg,Medicine,,135,74.25,46.06,0,37.71,119.62,,,,40.8,,,,
J1568,Injection; immune globulin; (Octagam); intravenous; nonlyophilized (e.g.; liquid); 500 mg,Medicine,,165,90.75,38.28,0,40.28,122.32,,,,45.11,,,,
J1642,Injection; heparin sodium; (heparin lock flush); per 10 units,Medicine,,10,5.5,0.2,0.08,0.2,0.08,,,,0.23,,,,
J1885,Injection; ketorolac tromethamine; per 15 mg,Medicine,,15,8.25,0.49,0,0.61,5.1,,,,0.86,,,,
J2001,Injection; lidocaine HCl; 10 mg,Medicine,,10,5.5,0.03,0,0.02,1.41,,,,0.03,,,,
J2060,Injection; lorazepam; 2 mg,Medicine,,15,8.25,0.91,0,0.82,4.5,,,,0.94,,,,
J2300,Injection; nalbuphine HCl; per 10 mg,Medicine,,20,11,2.05,0,2.97,2.16,,,,3.16,,,,
J2360,Injection; orphenadrine citrate; up to 60 mg,Medicine,,35,20,,,7.6,,,,,6.53,,,,
J2405,Injection; ondansetron HCl; per 1 mg,Medicine,,10,5.5,0.13,0.18,0.1,8.93,,,,0.11,,,,
J2550,Injection; promethazine HCl; up to 50 mg,Medicine,,18,9.9,2.03,1.42,2.39,4.08,,,,2.74,,,,
J2920,Injection; methylprednisolone sodium succinate; up to 40 mg,Medicine,,25,13.75,2.14,0,4.77,2.26,,,,5.08,,,,
J2930,Injection; methylprednisolone sodium succinate; up to 125 mg,Medicine,,30,16.5,3.03,0,6.7,2.75,,,,6.96,,,,
J3010,Injection; fentanyl citrate; 0.1 mg,Medicine,,15,8.25,0.79,0,0.55,1.12,,,,0.64,,,,
J3030,Injection; sumatriptan succinate; 6 mg ,Medicine,,325,178.75,95.89,0,86.3,38.02,,,,74.51,,,,
J3301,Injection; triamcinolone acetonide; per 10 mg,Medicine,,18,9.9,2.28,0,2.07,2.29,,,,2.23,,,,
J3420,Injection; vitamin B-12 ; up to 1;000 mcg,Medicine,,20,11,2.63,0,2.3,0.24,,,,4.19,,,,
J3490,Unclassified Drugs,Medicine,,75,41.25,0,0,0,60,,,6.33,0,,,,
J3490-M,Marcaine 50 ml (Bupivicaine),Medicine,,150,41.25,0,0,0,60,,,6.33,0,,,,
J3490-S,Sensorcaine 10 ml (Bupivicaine),Medicine,,175,41.25,0,0,0,28,,5.47,6.33,0,,,,
J3490-SAL,10% normal saline,Medicine,,35,19.25,0.6,0,0,28,,,,0,,,,
J7030,Infusion; normal saline solution; 1;000 cc,Medicine,,25,13.75,1.49,0.93,2.43,14.22,,,,2.6,,,,
J7040,Infusion; normal saline solution; sterile (500 ml = 1 unit),Medicine,,15,8.25,0.74,0.47,1.21,9.02,,,,1.3,,,,
J7050,Infusion; normal saline solution; 250 cc,Medicine,,10,5.5,0.38,0.23,0.6,3.55,,,,0.64,,,,
J7799,NOC drugs; other than inhalation drugs; administered through DME,Medicine,,200,110,0,0,0,160,,,,0,,,,
L0120,Cervical; flexible; nonadjustable (foam collar),DME,,95,52.25,24.08,23.75,17.87,31.95,,,22.46,29.78,,,,
L0172,Cervical; collar; semi-rigid thermoplastic foam; two piece Aspen98400,DME,,505,277.75,127.9,126.13,94.88,169.74,,,119.32,158.14,,,,
L0174,Cervical; collar; semi-rigid; thermoplastic foam; two piece with thoracic extension,DME,,985,541.75,249.3,245.86,184.94,330.86,,,232.58,308.23,,,,
L0180,Cervical; multiple post collar; occipital/mandibular supports; adjustable,DME,,1475,811.25,373.55,368.39,277.12,495.76,,,348.5,461.86,,,,
L0456,TLSO; flexible; provides trunk support; thoracic region; rigid posterior panel and soft anterior apron; extends from the sacrococcygeal junction and terminates just inferior to the scapular spine; restricts gross trunk motion in the sagittal plane; produc,DME,,3850,2115.5,970.44,,719.91,,,,905.35,1199.85,,,,
L0625,Lumbar orthosis; flexible; provides lumbar support; posterior extends from L-1 to below L-5 vertebra; produces intracavitary pressure to reduce load on the intervertebral discs; includes straps; closures; may include pendulous abdomen design; shoulder str,DME,,215,118.25,53.76,53.02,39.89,71.34,,,50.16,66.48,,,,
L0627,Lumbar orthosis; sagittal control; with rigid anterior and posterior panels; posterior extends from L-1 to below L-5 vertebra; produces intracavitary pressure to reduce load on the intervertebral discs; includes straps; closures; may include padding; shou,DME,,1580,875,401.09, ,297.55, , , ,374.18,495.91,,,,
L0631,Lumbar-sacral orthosis; sagittal control; with rigid anterior and posterior panels; posterior extends from sacrococcygeal junction to T-9 vertebra; produces intracavitary pressure to reduce load on the intervertebral discs; includes straps; closures; may,DME,,3950,2172.5,1001.69,987.85,743.09,1329.36,,,934.48,1238.49,,,,
L0637,Back brace,DME,,4675,2571.25,1185.42,1169.05,879.39,1573.25,,,1105.91,1465.65,,,,
L0639,Back brace,DME,,4675,2571.25,1185.42,1169.05,879.39,1573.25,,,1105.91,1465.65,,,,
L0700,CTLSO; anterior-posterior-lateral control; molded to patient model (Minerva type),DME,,7345,4039.75,1862.32,1836.61,1381.55,2471.62,,,1737.41,2302.58,,,,
L1810,KO; elastic with joints; prefabricated; includes fitting and adjustment,DME,,385,211.75,97.07,95.72,72.01,128.83,,,90.56,120.01,,,,
L1820,Knee orthosis; elastic with condylar pads and joints; with or without patellar control; prefabricated; includes fitting and adjustment,DME,,515,283.25,130.57,,96.86,,,,121.81,161.44,,,,
L1930,AFO; plastic or other material; prefabricated; includes fitting and adjustment,DME,,1125,618.75,286.24,282.29,212.35,379.9,,,267.05,353.91,,,,
L3670-LT,Shoulder orthosis; acromio/clavicular (canvas and webbing type); prefabricated; includes fitting and adjustment,DME,,425,225,104.26,,77.35,,,,97.27,128.91,,,,
L3670-RT,Shoulder orthosis; acromio/clavicular (canvas and webbing type); prefabricated; includes fitting and adjustment,DME,,425,225,104.26,,77.35,,,,97.27,128.91,,,,
L3762,Elbow orthosis (EO); rigid; without joints; includes soft interface material; prefabricated; includes fitting and adjustment,DME,,375,206.25,95.5,94.18,70.85,126.74,,,89.09,0,,,,
L3901,WHFO; dynamic flexor hinge; reciprocal wrist extension/flexion; finger flexion/extension; cable driven; custom fabricated,DME,,5625,3093.72,1427.11,1407.4,1058.69,1894,,,1331.38,1764.48,,,,
L3908,WHO; wrist extension control cock-up; nonmolded; prefabricated; includes fitting and adjustment,DME,,205,72.5,53.2,52.47,39.47,70.62,38.78,,49.64,65.79,,,,
L4396,Static ankle foot orthosis; including soft interface material;  adjustable for fit; for  positioning; pressure reduction; may be used for minimal ambulation; prefabricated; includes fitting and adjustment,DME,,645,354.75,163.78,161.52,121.5,217.34,,,152.79,202.5,,,,
L4398,Foot drop splint; recumbent positioning device; prefabricated; includes fitting and adjustment,DME,,295,162.25,75.38,74.34,55.92,100.02,,,70.31,93.2,,,,
L7040,Prehensile actuator; switch controlled,DME,,14350,7892.5,3634.26,3584.06,2696.03,4823.23,,,3390.49,4493.39,,,,
LGLSO,Legal Second Opinion Consultation,Corporate,,1250,1250,0,0,0,0,,,0,0,,,,
MRDD,Medical records copying fee; disability determinations only,Corporate,,20,20,0,20,20,20,20,20,20,20,,,,
MRPG1,Medical records copying fee; pages 1-25,Corporate,,1,1,0,,,,,,,0,,,,
MRPG2,Medical records copying fee; pages 26-350,Corporate,,0.5,0.5,0,,,,,,,0,,,,
MRPG3,Medical records copying fee; pages 350+,Corporate,,0.25,0.25,0,,,,,,,0,,,,
MRPGELEC,Medical records copying fee; electronic copy,Corporate,,0,,0,,,,,,,0,,,,
MRPOST,Medical records copying fee; postage cost(s),Corporate,,0,,0,,,,,,,0,,,,
MRPROC,Medical records copying fee; administrative processing,Corporate,,25,25,0,,,,,,,0,,,,
NSF,Insufficient Funds,Corporate,,35,19.25,0,0,0,0,,,0,0,,,,
Q9967,Low osmolar contrast material; 300-399 mg/ml iodine concentration; per ml,Pain/Fluoro Procedures,,50,27.5,0.21,0,0.15,0.75,,0.17,0.21,,,,,
S0020-25,Bupivicaine HCl 30 ml 0.25% PF,Medicine,,150,75,0,,150,,,,,,,,,
S0020-50,Bupivicaine HCl 30 ml 0.50% PF,Medicine,,175,90,0,,175,70,,,,,,,,
S8452,Splint; Prefabricated; Elbow,DME,,180,,0,,93.6,,,,,,,,,
S9981,Medical records copying fee; administrative,Corporate,,25,25,0,0,0,0,,,0,,,,,
VIDEO,Deposition fee (Video),Physician Services,,1500,825,0,0,0,0,,,0,,,,,
WC-DEPOSIT,Advance Workers Comp Deposit for Conferences/ Forms,Corporate,,0,0,0,0,0,0,,,0,,,,,
NARRC,Narrative Report > 2 pages,Corporate,,750,,,,,,,,,,,,,
NARRS,Narrative Report up to 2 pages,Corporate,,475,,,,,,,,,,,,,
93246,Zio Patch 1 of 2,Physician Services,,160,128,18.4,,40.78,,,,28.14,29.3,,,,
93248,Zio Patch 2 of 2,Physician Services,,180,126,25.46,,45.1,44.78,,,38,40.53,,,,
